Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,139.880005,147.919998,135.589996,140.610001,135.911163,78060900
2021-04-01,141.630005,155.960007,140.639999,152.899994,148.187592,52412000
2021-05-01,153.720001,154.270004,144.470001,148.979996,144.388382,55470800
2021-06-01,149.770004,150.179993,141.559998,141.669998,137.303711,55702500
2021-07-01,141.699997,152.199997,141.660004,149.050003,144.845490,43284400
2021-08-01,150.029999,150.740005,126.660004,127.769997,124.165771,99910400
2021-09-01,127.889999,130.550003,120.959999,121.680000,118.247574,73292000
2021-10-01,122.430000,126.199997,110.290001,110.739998,107.939987,72143400
2021-11-01,110.769997,120.959999,102.800003,104.500000,101.857758,104078700
2021-12-01,105.779999,110.919998,101.790001,109.150002,106.390198,87971500
2022-01-01,109.349998,120.230003,106.809998,119.919998,117.323692,85386100
2022-02-01,119.739998,122.059998,90.480003,95.230003,93.168243,90709000
2022-03-01,94.940002,102.980003,85.000000,100.419998,98.245872,88154600
2022-04-01,100.660004,105.279999,95.239998,99.150002,97.501579,71879100
2022-05-01,98.709999,105.550003,91.680000,104.500000,102.762627,75376300
2022-06-01,105.730003,106.650002,89.970001,91.669998,90.145935,71947800
2022-07-01,91.269997,102.970001,90.330002,102.160004,100.918671,54463100
2022-08-01,100.970001,105.160004,91.320000,91.370003,90.259773,84215200
2022-09-01,91.180000,93.900002,75.540001,75.570000,74.651764,114432400
2022-10-01,76.139999,85.180000,72.370003,82.989998,82.426582,102548100
2022-11-01,83.930000,84.180000,56.529999,72.580002,72.087257,196515400
2022-12-01,72.690002,75.000000,64.940002,67.849998,67.389366,143240700
2023-01-01,68.720001,75.419998,67.800003,75.040001,75.040001,107653600
2023-02-01,74.919998,79.320000,63.509998,67.029999,67.029999,100670200
