Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,260.820007,299.709991,253.500000,294.529999,294.529999,497416700
2021-04-01,298.399994,331.809998,296.040009,325.079987,325.079987,421257700
2021-05-01,326.170013,333.779999,298.190002,328.730011,328.730011,353423700
2021-06-01,330.149994,358.140015,323.480011,347.709991,347.709991,344810400
2021-07-01,346.820007,377.549988,334.500000,356.299988,356.299988,335420300
2021-08-01,358.100006,382.760010,347.700012,379.380005,379.380005,226132300
2021-09-01,379.589996,384.329987,338.149994,339.390015,339.390015,338121800
2021-10-01,341.609985,345.019989,308.109985,323.570007,323.570007,588382500
2021-11-01,326.040009,353.829987,323.200012,324.459991,324.459991,441125000
2021-12-01,330.290009,352.709991,299.500000,336.350006,336.350006,438246900
2022-01-01,338.299988,343.089996,289.010010,313.260010,313.260010,427237300
2022-02-01,314.559998,328.000000,190.220001,211.029999,211.029999,1128039600
2022-03-01,209.869995,231.149994,185.820007,222.360001,222.360001,733274500
2022-04-01,224.550003,236.860001,169.000000,200.470001,200.470001,672255000
2022-05-01,201.169998,224.300003,176.110001,193.639999,193.639999,680548800
2022-06-01,196.509995,202.029999,154.250000,161.250000,161.250000,685975600
2022-07-01,160.309998,183.850006,154.850006,159.100006,159.100006,586482400
2022-08-01,157.250000,183.100006,155.229996,162.929993,162.929993,551922900
2022-09-01,163.580002,171.389999,134.119995,135.679993,135.679993,635014800
2022-10-01,137.139999,142.389999,92.599998,93.160004,93.160004,1107662200
2022-11-01,94.330002,118.739998,88.089996,118.099998,118.099998,1063791200
2022-12-01,119.199997,124.669998,112.459999,120.339996,120.339996,652928100
2023-01-01,122.820000,153.190002,122.279999,148.970001,148.970001,548670100
2023-02-01,148.029999,197.160004,147.059998,171.119995,171.119995,663201500
