Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,35.520000,39.970001,35.240002,38.689999,37.095497,1378848200
2021-04-01,38.830002,41.130001,37.410000,40.529999,39.052681,1029977500
2021-05-01,40.869999,43.259998,39.779999,42.389999,40.844883,823509600
2021-06-01,42.950001,43.490002,38.490002,41.230000,39.727165,984580900
2021-07-01,41.560001,41.700001,36.509998,38.360001,37.117367,1060522600
2021-08-01,38.400002,42.840000,37.549999,41.750000,40.397552,997266200
2021-09-01,41.750000,44.040001,38.360001,42.450001,41.074875,1022318600
2021-10-01,42.480000,48.430000,42.330002,47.779999,46.469131,917220900
2021-11-01,48.099998,48.689999,44.360001,44.470001,43.249947,895399100
2021-12-01,45.220001,45.700001,42.700001,44.490002,43.269398,1060922000
2022-01-01,45.090000,50.080002,42.590000,46.139999,45.090111,1225178700
2022-02-01,46.209999,50.110001,42.049999,44.200001,43.194263,941748700
2022-03-01,43.709999,44.630001,38.169998,41.220001,40.282070,1312818500
2022-04-01,41.689999,41.740002,35.540001,35.680000,35.038609,1032209900
2022-05-01,36.029999,38.750000,32.959999,37.200001,36.531284,1107801400
2022-06-01,37.459999,37.470001,30.639999,31.129999,30.570400,996294300
2022-07-01,30.980000,33.980000,29.670000,33.810001,33.393459,814208000
2022-08-01,33.619999,36.939999,33.000000,33.610001,33.195927,819363100
2022-09-01,33.340000,35.630001,30.170000,30.200001,29.827936,860183900
2022-10-01,30.590000,36.369999,29.309999,36.040001,35.830521,980931500
2022-11-01,36.439999,38.599998,35.410000,37.849998,37.629997,700345500
2022-12-01,37.500000,37.689999,31.350000,33.119999,32.927490,893052600
2023-01-01,33.230000,35.779999,32.889999,35.480000,35.480000,809167900
2023-02-01,35.200001,37.000000,34.070000,34.290001,34.290001,498460500
