Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,230.036667,240.369995,179.830002,222.643326,222.643326,2827357200
2021-04-01,229.456665,260.263336,219.806671,236.479996,236.479996,2035619100
2021-05-01,234.600006,235.333328,182.326660,208.406662,208.406662,1875527400
2021-06-01,209.266663,232.539993,190.406662,226.566666,226.566666,1559765700
2021-07-01,227.973328,233.333328,206.820007,229.066666,229.066666,1345349400
2021-08-01,233.333328,246.796661,216.279999,245.240005,245.240005,1143974700
2021-09-01,244.693329,266.333344,236.283340,258.493347,258.493347,1170513900
2021-10-01,259.466675,371.736664,254.529999,371.333344,371.333344,1586803800
2021-11-01,381.666656,414.496674,326.200012,381.586670,381.586670,1947334500
2021-12-01,386.899994,390.946655,295.373322,352.260010,352.260010,1530167700
2022-01-01,382.583344,402.666656,264.003326,312.239990,312.239990,1916006400
2022-02-01,311.736664,315.923340,233.333328,290.143341,290.143341,1391126700
2022-03-01,289.893341,371.589996,252.013336,359.200012,359.200012,1729272900
2022-04-01,360.383331,384.290009,273.899994,290.253326,290.253326,1520959800
2022-05-01,286.923340,318.500000,206.856674,252.753326,252.753326,1948221600
2022-06-01,251.720001,264.209991,208.693329,224.473328,224.473328,2011227900
2022-07-01,227.000000,298.320007,216.166672,297.149994,297.149994,1744884000
2022-08-01,301.276672,314.666656,271.809998,275.609985,275.609985,1695263200
2022-09-01,272.579987,313.799988,262.470001,265.250000,265.250000,1299271000
2022-10-01,254.500000,257.500000,198.589996,227.539993,227.539993,1735263100
2022-11-01,234.050003,237.399994,166.190002,194.699997,194.699997,1885275300
2022-12-01,197.080002,198.919998,108.239998,123.180000,123.180000,2943774900
2023-01-01,118.470001,180.679993,101.809998,173.220001,173.220001,3895502700
2023-02-01,173.889999,217.649994,169.929993,200.860001,200.860001,3020377900
